"customerid","count","quarter","referred_a_friend","number_of_referrals","tenure_in_months","offer","phone_service","avg_monthly_long_distance_charges","multiple_lines","internet_service","internet_type","avg_monthly_gb_download","online_security","online_backup","device_protection_plan","premium_tech_support","streaming_tv","streaming_movies","streaming_music","unlimited_data","contract","paperless_billing","payment_method","monthly_charge","total_charges","total_refunds","total_extra_data_charges","total_long_distance_charges","total_revenue","satisfaction_score","customer_status","churn_label","churn_value","churn_score","cltv","churn_category","churn_reason","country","state","city","zip_code","lat_long","latitude","longitude","gender","age","under_30","senior_citizen","married","dependents","number_of_dependents","population"
"1096-ADRUX",1,"Q3","Yes",1,66,"None","Yes","37.84","Yes","Yes","Fiber Optic",17,"No","No","No","No","No","No","No","Yes","One Year","Yes","Bank Withdrawal","74.25","4859.25","0.00","0.00","2497.44","7356.69",3,"Stayed","No",0,45,4395,NULL,NULL,"United States","California","Placentia","92870","33.881158, -117.854783","33.88115800","-117.85478300","Female",34,"No","No","Yes","Yes",1,48170
"2001-MCUUW",1,"Q3","No",0,46,"None","Yes","37.50","Yes","Yes","Fiber Optic",22,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Bank Withdrawal","108.65","4903.20","0.00","0.00","1725.00","6628.20",4,"Stayed","No",0,25,4210,NULL,NULL,"United States","California","Corona","92879","33.893823, -117.531446","33.89382300","-117.53144600","Male",51,"No","No","No","No",0,44875
"2731-GJRDG",1,"Q3","No",0,32,"None","Yes","4.61","Yes","Yes","Fiber Optic",12,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","One Year","Yes","Bank Withdrawal","109.55","3608.00","0.00","0.00","147.52","3755.52",3,"Stayed","No",0,72,5076,NULL,NULL,"United States","California","Corona","92880","33.918043, -117.617809","33.91804300","-117.61780900","Female",55,"No","No","No","No",0,16998
"4723-BEGSG",1,"Q3","Yes",1,72,"None","Yes","12.12","Yes","Yes","Cable",23,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Credit Card","86.65","6094.25","3.20","0.00","872.64","6963.69",3,"Stayed","No",0,61,5483,NULL,NULL,"United States","California","Corona","92881","33.833686, -117.513063","33.83368600","-117.51306300","Male",35,"No","No","Yes","No",0,21911
"6516-NKQBO",1,"Q3","Yes",1,38,"None","Yes","22.05","No","Yes","Cable",73,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Credit Card","81.00","3084.90","0.00","0.00","837.90","3922.80",4,"Stayed","No",0,75,3067,NULL,NULL,"United States","California","Corona","92882","33.819385, -117.600213","33.81938500","-117.60021300","Male",28,"Yes","No","Yes","No",0,60294
"8672-OAUPW",1,"Q3","No",0,51,"None","Yes","36.59","No","Yes","DSL",20,"No","No","No","Yes","No","No","No","Yes","One Year","No","Credit Card","47.85","2356.75","18.39","0.00","1866.09","4204.45",4,"Stayed","No",0,56,4138,NULL,NULL,"United States","California","Corona","92883","33.762351, -117.488725","33.76235100","-117.48872500","Male",48,"No","No","No","No",0,13188
"8207-DMRVL",1,"Q3","Yes",1,72,"None","Yes","21.89","Yes","Yes","Fiber Optic",58,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Two Year","No","Bank Withdrawal","114.55","8306.05","21.60","40.00","1576.08","9900.53",3,"Stayed","No",0,51,6158,NULL,NULL,"United States","California","Yorba Linda","92886","33.897253, -117.792202","33.89725300","-117.79220200","Male",47,"No","No","Yes","Yes",3,39458
"2804-ETQDK",1,"Q3","No",0,66,"None","Yes","20.63","No","No","None",0,"No","No","No","No","No","No","No","No","Two Year","No","Credit Card","20.55","1357.10","17.14","0.00","1361.58","2701.54",4,"Stayed","No",0,74,4101,NULL,NULL,"United States","California","Ventura","93004","34.278697, -119.167798","34.27869700","-119.16779800","Male",57,"No","No","No","Yes",2,27381
"7138-GIRSH",1,"Q3","No",0,50,"None","Yes","27.04","Yes","Yes","DSL",2,"No","No","Yes","Yes","No","Yes","Yes","Yes","Two Year","No","Bank Withdrawal","69.50","3418.20","5.73","0.00","1352.00","4764.47",5,"Stayed","No",0,76,4145,NULL,NULL,"United States","California","Camarillo","93012","34.205504, -118.993111","34.20550400","-118.99311100","Male",63,"No","No","No","No",0,24945
"9396-ZSFLL",1,"Q3","No",0,15,"None","Yes","13.58","Yes","Yes","DSL",19,"No","No","No","No","No","No","No","Yes","Month-to-Month","No","Credit Card","48.85","631.40","32.09","0.00","203.70","803.01",4,"Stayed","No",0,78,3762,NULL,NULL,"United States","California","Carpinteria","93013","34.441398, -119.513163","34.44139800","-119.51316300","Female",64,"No","No","No","No",0,17409
"6464-KEXXH",1,"Q3","No",0,8,"None","No","0.00","No","Yes","Cable",16,"No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card","25.25","186.30","0.00","0.00","0.00","186.30",3,"Stayed","No",0,33,2372,NULL,NULL,"United States","California","Fillmore","93015","34.408161, -118.865111","34.40816100","-118.86511100","Male",55,"No","No","No","No",0,16013
"5240-CAOYT",1,"Q3","No",0,57,"None","Yes","28.27","Yes","Yes","Fiber Optic",41,"Yes","Yes","No","Yes","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","87.55","4884.85","1.83","0.00","1611.39","6494.41",3,"Stayed","No",0,43,4882,NULL,NULL,"United States","California","Oak View","93022","34.404544, -119.302118","34.40454400","-119.30211800","Female",30,"No","No","No","No",0,6503
"4059-IIEBK",1,"Q3","No",0,7,"None","Yes","40.76","Yes","Yes","Fiber Optic",16,"No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","78.55","522.95","47.19","0.00","285.32","761.08",3,"Stayed","No",0,61,4025,NULL,NULL,"United States","California","Ojai","93023","34.581308, -118.931948","34.58130800","-118.93194800","Female",51,"No","No","No","No",0,21633
"0516-UXRMT",1,"Q3","No",0,62,"None","Yes","23.88","Yes","Yes","Fiber Optic",47,"Yes","Yes","Yes","No","No","No","No","Yes","One Year","Yes","Bank Withdrawal","92.05","5755.80","14.21","0.00","1480.56","7222.15",3,"Stayed","No",0,71,5801,NULL,NULL,"United States","California","Oxnard","93033","34.156629, -119.117218","34.15662900","-119.11721800","Female",27,"Yes","No","No","No",0,77791
"4851-BQDNX",1,"Q3","Yes",5,40,"None","Yes","14.41","No","Yes","Fiber Optic",22,"No","No","Yes","No","Yes","No","No","Yes","One Year","Yes","Bank Withdrawal","85.05","3355.65","38.15","0.00","576.40","3893.90",4,"Stayed","No",0,50,5904,NULL,NULL,"United States","California","Oxnard","93035","34.18454, -119.224666","34.18454000","-119.22466600","Male",56,"No","No","Yes","Yes",1,25322
"5148-HKFIR",1,"Q3","No",0,20,"None","Yes","15.87","No","No","None",0,"No","No","No","No","No","No","No","No","Two Year","No","Credit Card","19.70","406.95","0.00","0.00","317.40","724.35",5,"Stayed","No",0,76,4404,NULL,NULL,"United States","California","Piru","93040","34.432843, -118.730106","34.43284300","-118.73010600","Female",49,"No","No","No","No",0,1459
"3003-CMDUU",1,"Q3","No",0,25,"None","Yes","29.81","No","Yes","Fiber Optic",52,"No","No","No","Yes","Yes","Yes","Yes","No","Month-to-Month","Yes","Bank Withdrawal","95.15","2395.70","0.00","80.00","745.25","3220.95",3,"Stayed","No",0,52,3273,NULL,NULL,"United States","California","Santa Paula","93060","34.402343, -119.094824","34.40234300","-119.09482400","Female",22,"Yes","No","Yes","No",0,32511
"5016-IBERQ",1,"Q3","Yes",1,23,"None","Yes","18.05","Yes","Yes","Fiber Optic",51,"No","Yes","Yes","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","84.25","1968.10","8.30","0.00","415.15","2374.95",4,"Stayed","No",0,33,2781,NULL,NULL,"United States","California","Simi Valley","93063","34.296813, -118.685703","34.29681300","-118.68570300","Male",28,"Yes","No","Yes","No",0,49027
"9931-KGHOA",1,"Q3","Yes",9,46,"None","Yes","13.05","Yes","Yes","DSL",15,"Yes","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","55.00","2473.95","31.39","0.00","600.30","3042.86",3,"Stayed","No",0,40,5928,NULL,NULL,"United States","California","Santa Barbara","93103","34.438581, -119.685368","34.43858100","-119.68536800","Female",48,"No","No","Yes","No",0,20893
"1775-KWJKQ",1,"Q3","Yes",5,72,"None","Yes","26.96","Yes","Yes","DSL",9,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Credit Card","89.85","6562.90","12.55","0.00","1941.12","8491.47",4,"Stayed","No",0,50,6046,NULL,NULL,"United States","California","Santa Barbara","93105","34.037342, -119.80079","34.03734200","-119.80079000","Male",41,"No","No","Yes","No",0,25771
"7665-VIGUD",1,"Q3","No",0,10,"None","Yes","17.40","No","No","None",0,"No","No","No","No","No","No","No","No","One Year","No","Credit Card","20.35","176.30","0.00","0.00","174.00","350.30",5,"Stayed","No",0,38,4745,NULL,NULL,"United States","California","Santa Barbara","93108","34.457541, -119.631072","34.45754100","-119.63107200","Male",40,"No","No","No","No",0,12741
"9411-TPQQV",1,"Q3","No",0,40,"Offer B","No","0.00","No","Yes","DSL",28,"Yes","No","No","Yes","Yes","Yes","Yes","No","One Year","Yes","Bank Withdrawal","54.55","2236.20","11.48","40.00","0.00","2264.72",3,"Stayed","No",0,74,3533,NULL,NULL,"United States","California","Santa Barbara","93109","34.406256, -119.726936","34.40625600","-119.72693600","Female",31,"No","No","No","No",0,10986
"7954-MLBUN",1,"Q3","No",0,31,"None","Yes","10.05","No","Yes","Fiber Optic",14,"No","No","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Bank Withdrawal","99.45","3109.90","43.38","0.00","311.55","3378.07",5,"Stayed","No",0,64,2021,NULL,NULL,"United States","California","Santa Barbara","93111","34.460197, -119.802602","34.46019700","-119.80260200","Male",41,"No","No","No","No",0,16477
"2077-DDHJK",1,"Q3","Yes",2,68,"None","Yes","27.41","Yes","Yes","DSL",9,"Yes","Yes","Yes","Yes","No","No","No","Yes","Two Year","No","Credit Card","70.90","4911.35","49.37","0.00","1863.88","6725.86",4,"Stayed","No",0,50,4114,NULL,NULL,"United States","California","Goleta","93117","34.489983, -120.091246","34.48998300","-120.09124600","Female",48,"No","No","Yes","No",0,49975
"9574-BOSMD",1,"Q3","Yes",10,68,"None","Yes","19.09","Yes","No","None",0,"No","No","No","No","No","No","No","No","Two Year","No","Bank Withdrawal","25.40","1620.20","9.34","0.00","1298.12","2908.98",4,"Stayed","No",0,72,5668,NULL,NULL,"United States","California","Arvin","93203","35.116307, -118.817644","35.11630700","-118.81764400","Male",50,"No","No","Yes","Yes",2,16206
"8404-VLQFB",1,"Q3","Yes",1,15,"None","Yes","29.55","Yes","No","None",0,"No","No","No","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal","25.25","394.85","0.00","0.00","443.25","838.10",3,"Stayed","No",0,59,4667,NULL,NULL,"United States","California","California Hot Springs","93207","35.865795, -118.69759","35.86579500","-118.69759000","Female",21,"Yes","No","Yes","Yes",1,226
"2391-IPLOP",1,"Q3","Yes",6,50,"Offer B","Yes","14.32","Yes","Yes","Cable",58,"No","No","Yes","Yes","Yes","No","No","Yes","One Year","Yes","Bank Withdrawal","69.65","3442.15","0.00","0.00","716.00","4158.15",4,"Stayed","No",0,27,4706,NULL,NULL,"United States","California","Corcoran","93212","36.04533, -119.532424","36.04533000","-119.53242400","Male",25,"Yes","No","Yes","No",0,23506
"5845-BZZIB",1,"Q3","Yes",7,35,"None","Yes","11.75","No","No","None",0,"No","No","No","No","No","No","No","No","Two Year","No","Credit Card","20.10","655.30","38.61","0.00","411.25","1027.94",3,"Stayed","No",0,65,4517,NULL,NULL,"United States","California","Frazier Park","93222","34.907911, -119.234281","34.90791100","-119.23428100","Male",37,"No","No","Yes","Yes",3,1526
"1140-UKVZG",1,"Q3","No",0,17,"Offer D","Yes","9.84","Yes","No","None",0,"No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","24.80","475.25","37.06","0.00","167.28","605.47",5,"Stayed","No",0,66,5208,NULL,NULL,"United States","California","Farmersville","93223","36.29878, -119.201028","36.29878000","-119.20102800","Female",64,"No","No","No","No",0,8644
"5183-SNMJQ",1,"Q3","No",0,10,"Offer D","Yes","45.69","No","Yes","Fiber Optic",11,"No","No","No","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Credit Card","95.10","865.10","43.25","0.00","456.90","1278.75",3,"Stayed","No",0,33,5787,NULL,NULL,"United States","California","Frazier Park","93225","34.827662, -118.999073","34.82766200","-118.99907300","Male",32,"No","No","No","No",0,4498
"8100-PNJMH",1,"Q3","Yes",2,68,"None","Yes","41.61","Yes","Yes","Cable",14,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Credit Card","88.85","6132.70","0.00","0.00","2829.48","8962.18",4,"Stayed","No",0,42,5228,NULL,NULL,"United States","California","Glennville","93226","35.735694, -118.738483","35.73569400","-118.73848300","Male",39,"No","No","Yes","No",0,296
"7838-LAZFO",1,"Q3","Yes",6,45,"Offer B","Yes","9.91","No","Yes","Cable",19,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","One Year","No","Bank Withdrawal","78.80","3597.50","23.28","0.00","445.95","4020.17",4,"Stayed","No",0,37,4192,NULL,NULL,"United States","California","Hanford","93230","36.29223, -119.622676","36.29223000","-119.62267600","Male",38,"No","No","Yes","No",0,53204
"2085-JVGAD",1,"Q3","Yes",3,37,"None","Yes","2.15","No","No","None",0,"No","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal","20.35","697.65","45.07","0.00","79.55","732.13",4,"Stayed","No",0,24,3078,NULL,NULL,"United States","California","Ivanhoe","93235","36.385818, -119.224243","36.38581800","-119.22424300","Male",56,"No","No","Yes","No",0,4517
"8095-WANWK",1,"Q3","No",0,10,"Offer D","Yes","3.55","No","Yes","DSL",29,"No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","45.25","428.70","44.90","0.00","35.50","419.30",5,"Stayed","No",0,38,5369,NULL,NULL,"United States","California","Kettleman City","93239","35.996923, -120.000951","35.99692300","-120.00095100","Female",46,"No","No","No","No",0,1809
"3030-ZKIWL",1,"Q3","No",0,1,"None","Yes","18.15","No","No","None",0,"No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","20.05","20.05","0.00","0.00","18.15","38.20",5,"Joined","No",0,21,2798,NULL,NULL,"United States","California","Lake Isabella","93240","35.607875, -118.466318","35.60787500","-118.46631800","Male",23,"Yes","No","No","No",0,5564
"9565-FLVCG",1,"Q3","Yes",10,65,"Offer B","Yes","17.43","Yes","Yes","DSL",30,"Yes","Yes","No","No","No","Yes","Yes","Yes","Two Year","Yes","Mailed Check","69.55","4459.15","23.61","0.00","1132.95","5568.49",3,"Stayed","No",0,74,5420,NULL,NULL,"United States","California","Lamont","93241","35.245035, -118.905553","35.24503500","-118.90555300","Male",40,"No","No","Yes","No",0,15364
"8755-OGKNA",1,"Q3","Yes",5,57,"Offer B","Yes","42.14","No","No","None",0,"No","No","No","No","No","No","No","No","Two Year","No","Bank Withdrawal","19.50","1167.60","19.89","0.00","2401.98","3549.69",3,"Stayed","No",0,45,5864,NULL,NULL,"United States","California","Laton","93242","36.444232, -119.718285","36.44423200","-119.71828500","Female",33,"No","No","Yes","Yes",3,2900
"2800-VEQXM",1,"Q3","No",0,3,"None","Yes","12.50","No","Yes","Fiber Optic",4,"No","No","Yes","No","No","No","No","Yes","Month-to-Month","Yes","Mailed Check","74.75","238.10","38.84","0.00","37.50","236.76",3,"Joined","No",0,21,3319,NULL,NULL,"United States","California","Lebec","93243","34.845861, -118.885163","34.84586100","-118.88516300","Female",48,"No","No","No","No",0,1247
"5533-RJFTJ",1,"Q3","No",0,49,"Offer B","No","0.00","No","Yes","Cable",58,"No","No","Yes","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","30.20","1453.10","0.00","0.00","0.00","1453.10",4,"Stayed","No",0,42,5214,NULL,NULL,"United States","California","Lemoore","93245","36.303666, -119.825657","36.30366600","-119.82565700","Male",22,"Yes","No","No","No",0,30419
"0214-JHPFW",1,"Q3","Yes",9,70,"None","No","0.00","No","Yes","Cable",85,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Bank Withdrawal","57.80","4039.30","1.01","0.00","0.00","4038.29",4,"Stayed","No",0,42,5640,NULL,NULL,"United States","California","Lost Hills","93249","35.637715, -119.893068","35.63771500","-119.89306800","Female",22,"Yes","No","Yes","No",0,2502
"5642-MHDQT",1,"Q3","Yes",6,53,"Offer B","Yes","11.35","No","No","None",0,"No","No","No","No","No","No","No","No","One Year","Yes","Bank Withdrawal","19.85","1039.45","14.67","0.00","601.55","1626.33",3,"Stayed","No",0,42,4836,NULL,NULL,"United States","California","Mc Farland","93250","35.666886, -119.186717","35.66688600","-119.18671700","Female",60,"No","No","Yes","No",0,10781
"3088-FVYWK",1,"Q3","Yes",3,53,"Offer B","Yes","33.31","Yes","No","None",0,"No","No","No","No","No","No","No","No","Two Year","No","Credit Card","25.55","1336.10","37.37","0.00","1765.43","3064.16",3,"Stayed","No",0,46,5794,NULL,NULL,"United States","California","Mc Kittrick","93251","35.38381, -119.730885","35.38381000","-119.73088500","Male",37,"No","No","Yes","Yes",3,302
"9092-GDZKO",1,"Q3","No",0,22,"Offer D","Yes","22.97","Yes","No","None",0,"No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","24.85","493.40","21.32","0.00","505.34","977.42",4,"Stayed","No",0,51,3534,NULL,NULL,"United States","California","New Cuyama","93254","34.956577, -119.750142","34.95657700","-119.75014200","Male",49,"No","No","No","No",0,798
"2324-AALNO",1,"Q3","No",0,48,"Offer B","Yes","23.76","Yes","No","None",0,"No","No","No","No","No","No","No","No","One Year","No","Bank Withdrawal","24.55","1203.95","36.04","0.00","1140.48","2308.39",5,"Stayed","No",0,41,5517,NULL,NULL,"United States","California","Porterville","93257","36.008958, -118.891593","36.00895800","-118.89159300","Female",63,"No","No","No","No",0,65566
"5760-IFJOZ",1,"Q3","No",0,3,"None","Yes","47.50","Yes","Yes","Fiber Optic",22,"No","Yes","Yes","No","Yes","Yes","Yes","Yes","Month-to-Month","No","Mailed Check","107.95","313.60","0.00","0.00","142.50","456.10",4,"Joined","No",0,77,3449,NULL,NULL,"United States","California","Richgrove","93261","35.809921, -119.127437","35.80992100","-119.12743700","Male",57,"No","No","No","No",0,2956
"2826-UWHIS",1,"Q3","Yes",4,45,"Offer B","Yes","1.59","Yes","Yes","Fiber Optic",19,"No","Yes","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","81.40","3775.85","0.00","0.00","71.55","3847.40",5,"Stayed","No",0,55,5602,NULL,NULL,"United States","California","Sequoia National Park","93262","36.527243, -118.594938","36.52724300","-118.59493800","Male",64,"No","No","Yes","No",0,56
"7501-IWUNG",1,"Q3","Yes",9,61,"Offer B","Yes","1.27","No","Yes","DSL",24,"No","No","Yes","Yes","Yes","Yes","Yes","No","Two Year","Yes","Bank Withdrawal","73.80","4616.05","49.51","30.00","77.47","4674.01",4,"Stayed","No",0,58,6301,NULL,NULL,"United States","California","Springville","93265","36.245926, -118.693138","36.24592600","-118.69313800","Female",57,"No","No","Yes","No",0,3546
"4957-TREIR",1,"Q3","No",0,3,"None","Yes","38.05","No","Yes","DSL",7,"Yes","No","No","Yes","Yes","No","No","Yes","Month-to-Month","Yes","Credit Card","64.40","195.65","0.00","0.00","114.15","309.80",4,"Joined","No",0,20,5645,NULL,NULL,"United States","California","Stratford","93266","36.175255, -119.813805","36.17525500","-119.81380500","Male",37,"No","No","No","No",0,1729
"8040-MNRTF",1,"Q3","No",0,1,"None","Yes","37.51","No","Yes","Fiber Optic",10,"No","No","No","No","No","No","No","Yes","Month-to-Month","No","Mailed Check","71.10","71.10","0.00","0.00","37.51","108.61",5,"Joined","No",0,64,3029,NULL,NULL,"United States","California","Taft","93268","35.184837, -119.402525","35.18483700","-119.40252500","Female",47,"No","No","No","No",0,14937
"1536-HBSWP",1,"Q3","No",0,1,"None","Yes","14.93","No","Yes","DSL",4,"No","No","No","Yes","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","49.90","49.90","0.00","0.00","14.93","64.83",3,"Joined","No",0,56,4667,NULL,NULL,"United States","California","Terra Bella","93270","35.939068, -119.043666","35.93906800","-119.04366600","Female",33,"No","No","No","No",0,5868
"5313-FPXWG",1,"Q3","No",0,51,"Offer B","Yes","34.36","Yes","No","None",0,"No","No","No","No","No","No","No","No","One Year","Yes","Bank Withdrawal","24.60","1266.40","47.91","0.00","1752.36","2970.85",5,"Stayed","No",0,75,4886,NULL,NULL,"United States","California","Three Rivers","93271","36.413433, -118.854708","36.41343300","-118.85470800","Male",58,"No","No","No","No",0,2318
"0946-FKYTX",1,"Q3","No",0,52,"Offer B","No","0.00","No","Yes","Cable",14,"No","Yes","No","No","No","No","No","Yes","One Year","No","Mailed Check","30.10","1623.40","11.72","0.00","0.00","1611.68",3,"Stayed","No",0,51,6290,NULL,NULL,"United States","California","Tulare","93274","36.185471, -119.375243","36.18547100","-119.37524300","Male",42,"No","No","No","No",0,56101
"5076-YVXCM",1,"Q3","No",0,51,"Offer B","Yes","45.92","Yes","Yes","Fiber Optic",12,"No","No","No","No","No","Yes","Yes","No","Month-to-Month","No","Bank Withdrawal","83.40","4149.45","29.76","30.00","2341.92","6491.61",5,"Stayed","No",0,65,4191,NULL,NULL,"United States","California","Tupman","93276","35.316263, -119.402559","35.31626300","-119.40255900","Male",55,"No","No","No","No",0,236
"8262-COGGB",1,"Q3","No",0,1,"None","Yes","11.61","No","No","None",0,"No","No","No","No","No","No","No","No","Month-to-Month","Yes","Mailed Check","20.45","20.45","0.00","0.00","11.61","32.06",3,"Joined","No",0,48,5384,NULL,NULL,"United States","California","Visalia","93277","36.303793, -119.375646","36.30379300","-119.37564600","Male",53,"No","No","No","No",0,44741
"6663-JOCQO",1,"Q3","Yes",7,31,"None","Yes","29.06","Yes","Yes","DSL",22,"Yes","Yes","No","Yes","No","Yes","Yes","Yes","One Year","Yes","Bank Withdrawal","75.25","2344.50","1.99","0.00","900.86","3243.37",3,"Stayed","No",0,43,4258,NULL,NULL,"United States","California","Wasco","93280","35.652242, -119.4464","35.65224200","-119.44640000","Male",55,"No","No","Yes","No",0,22760
"9620-QJREV",1,"Q3","No",0,47,"Offer B","Yes","42.25","No","No","None",0,"No","No","No","No","No","No","No","No","One Year","No","Credit Card","20.55","1013.05","0.00","0.00","1985.75","2998.80",5,"Stayed","No",0,56,3313,NULL,NULL,"United States","California","Weldon","93283","35.55647, -118.244914","35.55647000","-118.24491400","Male",62,"No","No","No","No",0,1935
"2480-JZOSN",1,"Q3","Yes",8,1,"None","Yes","35.24","No","No","None",0,"No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","20.65","20.65","0.00","0.00","35.24","55.89",4,"Joined","No",0,59,4517,NULL,NULL,"United States","California","Woody","93287","35.710244, -118.881679","35.71024400","-118.88167900","Female",64,"No","No","Yes","No",0,88
"0078-XZMHT",1,"Q3","Yes",5,72,"None","Yes","32.36","Yes","Yes","DSL",52,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal","85.15","6316.20","0.00","0.00","2329.92","8646.12",3,"Stayed","No",0,76,6322,NULL,NULL,"United States","California","Visalia","93291","36.391777, -119.372842","36.39177700","-119.37284200","Male",19,"Yes","No","Yes","No",0,36718
"8338-QIUNR",1,"Q3","Yes",8,72,"None","Yes","6.09","Yes","Yes","DSL",41,"Yes","No","Yes","Yes","No","No","No","Yes","Two Year","Yes","Credit Card","66.50","4811.60","45.61","0.00","438.48","5204.47",3,"Stayed","No",0,49,4397,NULL,NULL,"United States","California","Bakersfield","93304","35.339796, -119.023552","35.33979600","-119.02355200","Male",23,"Yes","No","Yes","No",0,44588
"1525-LNLOJ",1,"Q3","Yes",5,66,"None","Yes","32.04","Yes","Yes","DSL",19,"No","No","Yes","No","Yes","No","No","Yes","Two Year","Yes","Bank Withdrawal","63.30","4189.70","40.62","0.00","2114.64","6263.72",5,"Stayed","No",0,60,4186,NULL,NULL,"United States","California","Bakersfield","93305","35.391733, -118.984109","35.39173300","-118.98410900","Male",34,"No","No","Yes","No",0,35643
"9450-TRJUU",1,"Q3","No",0,35,"None","Yes","41.21","Yes","Yes","Fiber Optic",6,"No","No","No","No","Yes","No","No","Yes","Month-to-Month","No","Bank Withdrawal","83.15","2848.45","18.84","0.00","1442.35","4271.96",4,"Stayed","No",0,65,2332,NULL,NULL,"United States","California","Bakersfield","93306","35.449881, -118.841442","35.44988100","-118.84144200","Male",52,"No","No","No","No",0,53481
"1766-GKNMI",1,"Q3","No",0,29,"None","Yes","9.49","Yes","Yes","Fiber Optic",21,"No","No","No","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","84.90","2516.20","47.04","0.00","275.21","2744.37",3,"Stayed","No",0,69,4388,NULL,NULL,"United States","California","Bakersfield","93307","35.280113, -118.962329","35.28011300","-118.96232900","Male",56,"No","No","No","No",0,59195
"6942-LBFDP",1,"Q3","No",0,2,"None","Yes","16.70","No","No","None",0,"No","No","No","No","No","No","No","No","Month-to-Month","Yes","Mailed Check","20.55","33.60","0.00","0.00","33.40","67.00",3,"Joined","No",0,25,5629,NULL,NULL,"United States","California","Bakersfield","93308","35.559617, -118.925185","35.55961700","-118.92518500","Female",30,"No","No","No","No",0,44915
"1456-TWCGB",1,"Q3","No",0,4,"None","Yes","38.01","No","Yes","Cable",5,"No","Yes","No","No","No","No","No","Yes","Month-to-Month","No","Mailed Check","49.25","208.45","0.00","0.00","152.04","360.49",3,"Stayed","No",0,37,3272,NULL,NULL,"United States","California","Bakersfield","93309","35.342891, -119.064803","35.34289100","-119.06480300","Male",34,"No","No","No","No",0,58632
"7596-ZYWBB",1,"Q3","No",0,65,"Offer B","Yes","43.29","No","Yes","DSL",76,"Yes","Yes","No","Yes","No","No","No","No","Two Year","Yes","Mailed Check","59.60","3739.80","0.00","120.00","2813.85","6673.65",4,"Stayed","No",0,75,4372,NULL,NULL,"United States","California","Bakersfield","93312","35.392599, -119.245341","35.39259900","-119.24534100","Female",19,"Yes","No","No","No",0,40836
"3014-WJKSM",1,"Q3","Yes",10,29,"None","Yes","3.35","No","Yes","Fiber Optic",59,"No","No","Yes","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card","75.30","2263.40","0.00","0.00","97.15","2360.55",4,"Stayed","No",0,40,4910,NULL,NULL,"United States","California","San Luis Obispo","93401","35.233745, -120.626442","35.23374500","-120.62644200","Male",26,"Yes","No","Yes","No",0,27047
"3347-YJZZE",1,"Q3","Yes",6,29,"None","Yes","6.73","Yes","Yes","DSL",27,"No","Yes","Yes","No","Yes","Yes","Yes","Yes","Month-to-Month","No","Credit Card","80.10","2211.80","0.00","0.00","195.17","2406.97",4,"Stayed","No",0,70,4558,NULL,NULL,"United States","California","Los Osos","93402","35.279984, -120.824288","35.27998400","-120.82428800","Male",60,"No","No","Yes","Yes",2,14859
"7929-DMBCV",1,"Q3","Yes",6,20,"Offer D","Yes","11.39","No","Yes","Fiber Optic",21,"No","No","Yes","Yes","No","No","No","Yes","Month-to-Month","Yes","Mailed Check","81.00","1683.70","0.00","0.00","227.80","1911.50",3,"Stayed","No",0,22,4741,NULL,NULL,"United States","California","Arroyo Grande","93420","35.176236, -120.483243","35.17623600","-120.48324300","Female",45,"No","No","Yes","No",0,24499
